	getSpeed()	78.61	1.58	7.91	0.08	-3.61	19.79	178.18	75.00	19.79	-5.57	103.17	pid.getOutput()	103.17		319	millis	15674
	getSpeed()	78.61	1.58	7.91	0.08	-3.61	19.48	0.00	75.00	19.48	-3.61	88.76	pid.getOutput()	88.76		275	millis	15686
	getSpeed()	78.17	1.58	7.91	0.08	21.83	19.16	2312.73	100.00	19.48	-3.61	330.00	pid.getOutput()	330.00		1023	millis	15697
	getSpeed()	78.17	1.58	7.91	0.08	21.83	21.38	0.00	100.00	21.38	21.83	155.91	pid.getOutput()	155.91		483	millis	15709
	getSpeed()	81.47	1.58	7.91	0.08	18.53	23.27	-300.00	100.00	23.27	21.83	128.86	pid.getOutput()	128.86		399	millis	15721
	getSpeed()	81.47	1.58	7.91	0.08	18.53	24.89	0.00	100.00	24.89	18.53	154.20	pid.getOutput()	154.20		478	millis	15732
	getSpeed()	87.52	1.58	7.91	0.08	12.48	26.50	-550.00	100.00	26.50	18.53	102.74	pid.getOutput()	102.74		318	millis	15744
	getSpeed()	87.52	1.58	7.91	0.08	12.48	27.49	0.00	100.00	27.49	12.48	147.23	pid.getOutput()	147.23		456	millis	15755
	getSpeed()	94.61	1.58	7.91	0.08	5.39	28.57	-644.55	100.00	28.57	12.48	86.11	pid.getOutput()	86.11		266	millis	15767
	getSpeed()	94.61	1.58	7.91	0.08	5.39	29.04	0.00	100.00	29.04	5.39	137.57	pid.getOutput()	137.57		426	millis	15778
	getSpeed()	100.80	1.58	7.91	0.08	-0.80	29.51	-562.73	100.00	29.51	5.39	83.73	pid.getOutput()	83.73		259	millis	15790
	getSpeed()	100.80	1.58	7.91	0.08	-0.80	29.44	0.00	100.00	29.44	-0.80	128.18	pid.getOutput()	128.18		397	millis	15802
	getSpeed()	106.27	1.58	7.91	0.08	-6.27	29.37	-497.27	100.00	29.37	-0.80	80.12	pid.getOutput()	80.12		248	millis	15814
	getSpeed()	106.27	1.58	7.91	0.08	-6.27	28.83	0.00	100.00	28.83	-6.27	118.91	pid.getOutput()	118.91		368	millis	15825
	getSpeed()	110.23	1.58	7.91	0.08	-10.23	28.28	-360.00	100.00	28.28	-6.27	83.62	pid.getOutput()	83.62		259	millis	15837
	getSpeed()	110.23	1.58	7.91	0.08	-10.23	27.47	0.00	100.00	27.47	-10.23	111.29	pid.getOutput()	111.29		344	millis	15848
	getSpeed()	113.15	1.58	7.91	0.08	-13.15	26.58	-265.45	100.00	26.58	-10.23	84.78	pid.getOutput()	84.78		262	millis	15860
	getSpeed()	113.15	1.58	7.91	0.08	-13.15	25.44	0.00	100.00	25.44	-13.15	104.63	pid.getOutput()	104.63		324	millis	15871
	getSpeed()	114.85	1.58	7.91	0.08	-14.85	24.29	-154.55	100.00	24.29	-13.15	88.57	pid.getOutput()	88.57		274	millis	15883
