PWM VALUE:	38	OUT_VOLTAGE:	0.06	0.07	0.07	0.06	12.01	0.07	0.06	0.04	0.05	0.07	MEDIA:	1.40
PWM VALUE:	39	OUT_VOLTAGE:	12.01	0.07	0.05	0.06	0.06	0.04	0.06	0.05	0.05	0.08	MEDIA:	1.39
PWM VALUE:	40	OUT_VOLTAGE:	0.05	0.08	0.06	0.06	0.07	0.05	0.07	0.05	0.05	0.06	MEDIA:	0.20
PWM VALUE:	41	OUT_VOLTAGE:	0.07	0.06	0.04	0.07	0.05	12.01	0.05	0.04	0.04	0.05	MEDIA:	1.27
PWM VALUE:	42	OUT_VOLTAGE:	12.01	0.05	0.06	0.05	0.06	0.03	0.06	0.06	12.01	0.05	MEDIA:	2.57
PWM VALUE:	43	OUT_VOLTAGE:	0.06	12.01	0.05	0.06	0.04	0.05	0.05	0.05	0.06	0.05	MEDIA:	1.51
PWM VALUE:	44	OUT_VOLTAGE:	0.06	0.06	0.05	0.05	0.08	12.01	0.06	0.06	0.05	0.07	MEDIA:	1.41
PWM VALUE:	45	OUT_VOLTAGE:	0.07	0.06	0.05	0.04	0.06	0.05	12.01	0.06	0.07	0.06	MEDIA:	1.39
PWM VALUE:	46	OUT_VOLTAGE:	0.06	0.05	0.08	0.09	12.01	0.06	0.06	0.06	0.08	0.06	MEDIA:	1.40
PWM VALUE:	47	OUT_VOLTAGE:	0.06	0.04	0.06	0.02	0.05	0.05	0.05	0.08	0.06	0.06	MEDIA:	0.19
PWM VALUE:	48	OUT_VOLTAGE:	12.01	0.06	0.06	0.05	0.07	0.07	0.06	0.06	0.06	12.01	MEDIA:	2.47
PWM VALUE:	49	OUT_VOLTAGE:	0.07	0.05	0.03	0.07	0.08	0.08	0.00	0.06	0.06	0.05	MEDIA:	0.30
PWM VALUE:	50	OUT_VOLTAGE:	0.05	0.06	0.06	0.08	0.06	0.05	0.06	12.01	0.09	0.05	MEDIA:	1.29
PWM VALUE:	51	OUT_VOLTAGE:	0.06	12.01	0.04	0.03	0.06	0.06	0.06	0.06	0.04	0.05	MEDIA:	1.38
PWM VALUE:	52	OUT_VOLTAGE:	0.06	0.06	0.07	0.03	0.06	0.08	0.09	0.00	0.06	0.08	MEDIA:	0.20
PWM VALUE:	53	OUT_VOLTAGE:	0.06	0.06	0.04	0.06	0.06	0.07	0.06	0.00	0.03	0.06	MEDIA:	0.07
PWM VALUE:	54	OUT_VOLTAGE:	0.06	0.08	0.06	0.04	0.06	0.06	0.04	0.05	0.10	0.05	MEDIA:	0.07
PWM VALUE:	55	OUT_VOLTAGE:	0.03	0.05	0.05	0.07	0.05	0.06	0.06	0.06	0.04	0.07	MEDIA:	0.06
PWM VALUE:	56	OUT_VOLTAGE:	0.06	0.06	0.03	0.05	0.07	0.05	0.06	12.01	12.01	0.05	MEDIA:	2.45
PWM VALUE:	57	OUT_VOLTAGE:	0.06	12.01	0.05	0.06	0.07	0.06	0.06	0.07	0.05	0.05	MEDIA:	1.50
PWM VALUE:	58	OUT_VOLTAGE:	0.06	0.01	0.04	0.07	0.08	12.01	0.04	0.07	0.06	0.06	MEDIA:	1.40
PWM VALUE:	59	OUT_VOLTAGE:	0.12	0.06	0.05	0.06	0.08	0.06	0.05	0.05	0.08	12.01	MEDIA:	1.40
PWM VALUE:	60	OUT_VOLTAGE:	0.08	0.05	0.09	0.05	0.06	0.05	0.06	0.05	0.06	0.06	MEDIA:	0.20
PWM VALUE:	61	OUT_VOLTAGE:	0.05	0.05	0.05	0.07	0.08	0.08	0.09	0.06	0.06	0.05	MEDIA:	0.08
PWM VALUE:	62	OUT_VOLTAGE:	12.01	0.06	0.05	0.05	0.06	0.06	0.06	0.06	0.05	0.07	MEDIA:	1.26
PWM VALUE:	63	OUT_VOLTAGE:	0.07	0.06	0.06	0.06	0.05	0.06	0.05	0.05	0.04	0.05	MEDIA:	0.18
PWM VALUE:	64	OUT_VOLTAGE:	0.06	0.06	0.06	0.10	0.07	0.06	0.05	0.07	0.06	0.05	MEDIA:	0.08
PWM VALUE:	65	OUT_VOLTAGE:	0.05	0.06	0.06	0.06	0.05	0.05	0.07	0.07	0.07	12.01	MEDIA:	1.27
PWM VALUE:	66	OUT_VOLTAGE:	0.05	0.06	12.01	0.06	0.04	0.06	0.07	0.04	0.06	0.08	MEDIA:	1.38
PWM VALUE:	67	OUT_VOLTAGE:	0.07	0.04	0.04	0.08	0.05	0.06	0.05	0.06	0.08	0.06	MEDIA:	0.20
PWM VALUE:	68	OUT_VOLTAGE:	12.01	0.05	0.06	0.08	0.06	0.03	0.04	0.06	12.01	0.06	MEDIA:	2.47
PWM VALUE:	69	OUT_VOLTAGE:	0.08	0.04	0.05	0.07	0.06	0.06	0.06	0.07	0.06	0.05	MEDIA:	0.31
